"","V1"
"1",2
"2",3
"3",3
"4",3
"5",3
"6",3
"7",3
"8",3
"9",2
"10",3
"11",3
"12",2
"13",3
"14",2
"15",3
"16",3
"17",1
"18",1
"19",3
"20",3
"21",3
"22",1
"23",3
"24",3
"25",2
"26",3
"27",3
"28",2
"29",1
"30",2
"31",1
"32",3
"33",1
"34",2
"35",3
"36",2
"37",1
"38",3
"39",1
"40",1
"41",1
"42",2
"43",1
"44",1
"45",1
"46",2
"47",1
"48",3
"49",3
"50",3
"51",3
"52",3
"53",3
"54",1
"55",3
"56",2
"57",2
"58",1
"59",3
"60",1
"61",3
"62",1
"63",1
"64",1
"65",3
"66",3
"67",3
"68",3
"69",1
"70",1
"71",1
"72",1
"73",3
"74",3
"75",2
"76",3
"77",2
"78",1
"79",2
"80",2
"81",3
"82",3
"83",1
"84",3
"85",3
"86",3
"87",1
"88",3
"89",1
"90",3
"91",1
"92",3
"93",1
"94",1
"95",3
"96",3
"97",2
"98",3
"99",2
"100",1
"101",1
"102",3
"103",2
"104",3
"105",3
"106",3
"107",1
"108",3
"109",3
"110",2
"111",2
"112",3
"113",2
"114",3
"115",3
"116",2
"117",1
"118",3
"119",3
"120",2
"121",3
"122",3
"123",1
"124",1
"125",2
"126",3
"127",3
"128",3
"129",3
"130",3
"131",3
"132",3
"133",2
"134",2
"135",1
"136",2
"137",1
"138",3
"139",3
"140",2
"141",2
"142",2
"143",3
"144",3
"145",2
"146",2
"147",2
"148",3
"149",3
"150",3
"151",2
"152",3
"153",3
"154",3
"155",2
"156",2
"157",2
"158",2
"159",1
"160",3
"161",1
"162",1
"163",3
"164",3
"165",3
"166",3
"167",1
"168",1
"169",3
"170",1
"171",2
"172",3
"173",3
"174",1
"175",2
"176",2
"177",3
"178",2
"179",1
"180",2
"181",1
"182",3
"183",2
"184",3
"185",1
"186",2
"187",3
"188",1
"189",3
"190",3
"191",3
"192",3
"193",3
"194",3
"195",3
"196",3
"197",3
"198",1
"199",3
"200",1
"201",2
"202",1
"203",1
"204",3
"205",3
"206",3
"207",3
"208",3
"209",1
"210",3
"211",3
"212",3
"213",1
"214",2
"215",2
"216",1
"217",3
"218",3
"219",3
"220",2
"221",3
"222",2
"223",3
"224",2
"225",2
"226",2
"227",3
"228",2
"229",3
"230",3
"231",1
"232",3
"233",2
"234",1
"235",2
"236",3
"237",3
"238",3
"239",3
"240",2
"241",1
"242",3
"243",3
"244",2
"245",2
"246",1
"247",2
"248",2
"249",2
"250",2
"251",3
"252",3
"253",3
"254",2
"255",3
"256",3
"257",3
"258",2
"259",3
"260",1
"261",2
"262",2
"263",1
"264",2
"265",2
"266",1
"267",2
"268",1
"269",2
"270",1
"271",3
"272",3
"273",1
"274",1
"275",3
"276",1
"277",2
"278",1
"279",2
"280",1
"281",2
"282",1
"283",2
"284",2
"285",1
"286",1
"287",1
"288",2
"289",3
"290",3
"291",2
"292",3
"293",3
"294",3
"295",3
"296",2
"297",1
"298",3
"299",3
"300",1
"301",3
"302",3
"303",2
"304",3
"305",3
"306",3
"307",3
"308",3
"309",3
"310",3
"311",2
"312",2
"313",2
"314",1
"315",1
"316",1
"317",1
"318",2
"319",3
"320",2
"321",3
"322",1
"323",3
"324",2
"325",1
"326",2
"327",2
"328",1
"329",2
"330",2
"331",3
"332",2
"333",3
"334",3
"335",2
"336",1
"337",2
"338",3
"339",2
"340",3
"341",2
"342",1
"343",3
"344",1
"345",1
"346",1
"347",3
"348",2
"349",1
"350",3
"351",1
"352",3
"353",1
"354",2
"355",3
"356",2
"357",1
"358",1
"359",1
"360",2
"361",3
"362",1
"363",1
"364",2
"365",2
"366",2
"367",1
"368",3
"369",2
"370",1
"371",1
"372",3
"373",3
"374",3
"375",3
"376",1
"377",1
"378",3
"379",3
"380",1
"381",2
"382",3
"383",2
"384",2
"385",1
"386",1
"387",1
"388",2
"389",2
"390",3
"391",3
"392",3
"393",3
"394",3
"395",1
"396",2
"397",2
"398",1
"399",2
"400",2
"401",1
"402",3
"403",1
"404",1
"405",2
"406",2
"407",2
"408",1
"409",3
"410",3
"411",3
"412",2
"413",1
"414",1
"415",2
"416",1
"417",2
"418",2
"419",1
"420",1
"421",2
"422",2
"423",3
"424",2
"425",1
"426",2
"427",3
"428",2
"429",1
"430",3
"431",1
"432",2
"433",1
"434",3
"435",1
"436",3
"437",1
"438",2
"439",2
"440",2
"441",3
"442",3
"443",2
"444",2
"445",1
"446",3
"447",2
"448",2
"449",3
"450",3
"451",3
"452",2
"453",1
"454",1
"455",1
"456",3
"457",2
"458",1
"459",3
"460",1
"461",2
"462",2
"463",2
"464",1
"465",1
"466",1
"467",3
"468",2
"469",2
"470",2
"471",2
"472",2
"473",1
"474",1
"475",2
"476",2
"477",2
"478",1
"479",2
"480",2
"481",3
"482",2
"483",2
"484",2
"485",2
"486",1
"487",2
"488",2
"489",2
"490",2
"491",2
"492",2
"493",2
"494",2
"495",3
"496",1
"497",2
"498",3
"499",3
"500",1
"501",2
"502",1
"503",1
"504",2
"505",2
"506",2
"507",1
"508",2
"509",2
"510",2
"511",2
"512",2
"513",2
"514",2
"515",1
"516",1
"517",1
"518",1
"519",2
"520",2
"521",1
"522",2
"523",2
"524",2
"525",2
"526",1
"527",2
"528",1
"529",3
"530",2
"531",1
"532",2
"533",2
"534",2
"535",2
"536",3
"537",2
"538",2
"539",1
"540",1
"541",2
"542",2
"543",2
"544",3
"545",1
"546",2
"547",3
"548",3
"549",3
"550",2
"551",1
"552",3
"553",2
"554",3
"555",3
"556",1
"557",1
"558",2
"559",1
"560",1
"561",1
"562",2
"563",1
"564",2
"565",2
"566",1
"567",2
"568",1
"569",2
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",1
"577",3
"578",2
"579",2
"580",1
"581",2
"582",1
"583",2
"584",2
"585",2
"586",3
"587",1
"588",1
"589",1
"590",1
"591",2
"592",1
"593",2
"594",1
"595",1
"596",1
"597",3
"598",1
"599",1
"600",1
"601",3
"602",1
"603",3
"604",3
"605",2
"606",2
"607",3
"608",2
"609",2
"610",2
"611",2
"612",2
"613",2
"614",2
"615",3
"616",3
"617",2
"618",1
"619",1
"620",3
"621",2
"622",1
"623",1
"624",1
"625",1
"626",3
"627",2
"628",2
"629",3
"630",2
"631",2
"632",2
"633",2
"634",3
"635",1
"636",1
"637",2
"638",2
"639",3
"640",3
"641",3
"642",3
"643",3
"644",2
"645",2
"646",2
"647",3
"648",2
"649",3
"650",2
"651",2
"652",2
"653",2
"654",2
"655",2
"656",3
"657",3
"658",1
"659",2
"660",2
"661",2
"662",1
"663",2
"664",1
"665",1
"666",2
"667",2
"668",1
"669",2
"670",2
"671",2
"672",2
"673",1
"674",1
"675",3
"676",2
"677",1
"678",2
"679",1
