"","x"
"trade",1315
"oil",1080
"mln",761
"will",684
"market",642
"bank",605
"billion",593
"dlrs",584
"year",584
"price",574
"japan",509
"pct",472
"last",449
"offici",426
"export",408
"countri",382
"product",363
"import",350
"opec",348
"state",338
"foreign",336
"industri",335
"crude",318
"barrel",315
"dollar",314
"also",309
"minist",308
"japanes",301
"govern",299
"agreement",284
"bpd",284
"rate",281
"one",273
"currenc",265
"compani",256
"new",255
"exchang",253
"month",251
"meet",249
"unit",249
"week",245
"nation",244
"say",243
"econom",243
"two",238
"world",237
"stg",236
"told",233
"bill",232
"today",221
"februari",213
"day",207
"report",205
"increas",198
"deficit",196
"take",192
"surplus",188
"saudi",187
"expect",185
"plan",183
"cut",183
"polici",180
"develop",179
"intern",178
"hous",168
"presid",167
"system",167
"money",165
"major",163
"level",161
"talk",159
"produc",158
"reagan",157
"januari",154
"help",152
"good",148
"first",147
"energi",146
"march",146
"around",145
"gatt",144
"call",143
"west",142
"current",142
"sourc",142
"treasuri",142
"accord",142
"time",142
"tax",140
"rise",139
"analyst",138
"canada",138
"agre",138
"tariff",137
"ecuador",136
"economi",135
"petroleum",135
"need",134
"issu",134
"reserv",133
"output",132
"well",132
"open",132
"end",131
"chang",131
"now",130
"total",129
"member",129
"baker",129
"domest",127
"april",127
"set",127
"central",126
"made",123
"next",123
"way",123
"committe",123
"make",123
"dlr",122
"per",121
"rais",121
"stock",121
"continu",120
"negoti",120
"semiconductor",120
"includ",118
"like",115
"propos",115
"interest",115
"chip",115
"pari",115
"debt",114
"pact",113
"demand",112
"measur",112
"term",111
"china",111
"three",108
"general",107
"franc",107
"reduc",105
"fall",104
"may",104
"refineri",104
"taiwan",103
"can",102
"arabia",102
"ministri",102
"five",102
"declin",101
"move",101
"washington",101
"sinc",100
"financ",100
"monetari",100
"field",100
"spokesman",100
"quota",99
"see",99
"firm",98
"corp",97
"effect",97
"estim",97
"action",96
"high",95
"part",95
"compar",94
"growth",94
"decemb",93
"close",93
"want",92
"european",92
"statement",92
"south",91
"earli",91
"invest",91
"allow",91
"sell",90
"use",90
"fell",90
"administr",90
"discuss",90
"secretari",90
"work",89
"agricultur",89
"oper",89
"quarter",88
"consid",88
"post",87
"ask",87
"group",87
"forecast",87
"problem",85
"explor",85
"retali",85
"futur",84
"due",84
"fund",84
"credit",84
"canadian",83
"budget",83
"six",82
"suppli",82
"secur",82
"congress",82
"studi",81
"remain",81
"yen",81
"stabil",81
"economist",80
"sign",80
"figur",79
"feder",79
"earlier",78
"provid",78
"pipelin",78
"dealer",78
"contract",77
"must",77
"much",77
"yesterday",77
"show",77
"american",77
"announc",76
"recent",76
"cooper",76
"still",76
"buy",76
"lower",74
"note",74
"financi",74
"rule",74
"mark",74
"long",73
"assist",73
"boost",72
"support",72
"main",72
"rose",72
"round",72
"communiti",72
"back",71
"come",71
"loan",71
"disput",71
"cost",71
"yeutter",71
"within",70
"sever",70
"korea",70
"averag",69
"base",69
"drop",69
"pressur",69
"effort",69
"venezuela",69
"purchas",69
"lead",68
"forc",68
"tokyo",68
"repres",68
"british",68
"impos",67
"share",67
"larg",67
"germani",67
"hold",66
"mean",66
"follow",66
"third",66
"sanction",66
"revis",66
"think",66
"account",65
"higher",65
"among",65
"offer",65
"legisl",65
"refin",64
"result",64
"sale",64
"relat",64
"concern",64
"record",64
"nakason",64
"brazil",63
"non",63
"four",63
"england",63
"possibl",63
"cts",62
"bond",62
"aid",62
"posit",61
"project",61
"confer",61
"competit",61
"reach",61
"low",60
"mani",60
"fed",60
"howev",59
"trader",59
"short",59
"drill",59
"shortag",58
"control",58
"late",58
"tri",58
"gulf",58
"limit",58
"urg",58
"news",58
"deal",58
"war",58
"area",57
"balanc",57
"requir",57
"senat",57
"union",57
"decis",57
"give",57
"miti",57
"gas",57
"inc",56
"period",56
"grow",56
"second",56
"texa",55
"present",55
"britain",55
"servic",54
"valu",54
"revenu",54
"arab",54
"get",54
"liquid",54
"fix",53
"target",53
"restrict",53
"whether",53
"depart",53
"council",53
"approv",53
"ltd",52
"bbl",52
"start",52
"point",52
"septemb",52
"free",52
"auction",52
"practic",52
"far",52
"damag",52
"banker",51
"indonesia",51
"rang",51
"stop",51
"chairman",51
"comment",51
"pay",50
"order",50
"agenc",50
"full",50
"activ",49
"institut",49
"adjust",49
"might",49
"line",48
"clear",48
"near",48
"law",48
"privat",48
"partner",48
"bilater",48
"anoth",48
"benefit",48
"prepar",48
"warn",48
"microchip",48
"believ",48
"bring",47
"interview",47
"manag",47
"largest",47
"polit",47
"strong",47
"put",47
"author",47
"press",47
"success",47
"question",47
"visit",47
"western",47
"jame",47
"unfair",47
"given",46
"democrat",46
"senior",46
"intervent",46
"german",46
"soviet",46
"annual",45
"payment",45
"custom",45
"quot",45
"seek",45
"hope",45
"comput",45
"half",45
"program",45
"electron",45
"face",44
"kuwait",44
"reform",44
"protectionist",44
"alreadi",44
"curb",44
"busi",44
"baldrig",44
"associ",43
"grade",43
"less",43
"commod",43
"begin",43
"public",43
"dump",43
"ago",43
"depend",43
"light",42
"review",42
"just",42
"held",42
"textil",42
"option",42
"french",42
"volcker",42
"although",41
"bid",41
"session",41
"subsidi",41
"june",40
"step",40
"decid",40
"commerci",40
"commit",40
"run",40
"particular",40
"maker",40
"friday",40
"even",39
"protect",39
"previous",39
"amount",39
"europ",39
"subcommitte",39
"petrobra",39
"ceil",38
"improv",38
"hit",38
"lend",38
"recommend",38
"seen",38
"capit",38
"greater",38
"prime",38
"side",38
"commiss",38
"act",38
"north",38
"final",38
"block",38
"bundesbank",38
"discount",37
"reflect",37
"certain",37
"daili",37
"capac",37
"determin",37
"repurchas",37
"lift",37
"affect",37
"imbal",37
"inform",37
"shell",37
"shipment",37
"eas",37
"white",37
"find",37
"relief",37
"initi",36
"director",36
"eight",36
"schedul",36
"sector",36
"reason",36
"joint",36
"return",36
"suspend",36
"suggest",36
"sea",36
"better",36
"specif",36
"gain",36
"reduct",35
"probabl",35
"indic",35
"maintain",35
"addit",35
"despit",35
"accept",35
"transact",35
"detail",35
"diplomat",35
"violat",35
"key",35
"condit",34
"immedi",34
"keep",34
"past",34
"taken",34
"consumpt",34
"aim",34
"worth",34
"offic",34
"respons",34
"situat",33
"toward",33
"emerg",33
"direct",33
"place",33
"spend",33
"fundament",33
"nazer",33
"process",33
"pacif",33
"role",33
"incent",33
"band",33
"earthquak",33
"conabl",33
"octob",32
"access",32
"barrier",32
"caus",32
"look",32
"bought",32
"encourag",32
"signific",32
"commerc",32
"loss",32
"interven",32
"soon",31
"deputi",31
"east",31
"littl",31
"head",31
"ahead",31
"gave",31
"factor",31
"board",31
"heavi",31
"miyazawa",31
"leader",31
"herrington",31
"avoid",30
"weak",30
"right",30
"seven",30
"spot",30
"corpor",30
"stabilis",30
"consum",30
"progress",30
"without",30
"offset",30
"chief",30
"case",30
"profit",30
"volum",30
"oecd",30
"australian",30
"manufactur",30
"research",29
"sold",29
"mid",29
"respect",29
"expand",29
"resourc",29
"flow",29
"juli",29
"becom",29
"api",29
"fuel",29
"packag",29
"inflat",28
"favour",28
"deposit",28
"impact",28
"parti",28
"stimul",28
"tomorrow",28
"alleg",28
"attempt",28
"push",28
"refus",28
"california",28
"failur",28
"imf",28
"repair",28
"defend",28
"governor",28
"latest",27
"complet",27
"later",27
"basi",27
"fiscal",27
"yet",27
"exist",27
"exxon",27
"intend",27
"protection",27
"vice",27
"confid",27
"link",27
"prospect",27
"number",27
"strengthen",27
"hand",27
"organis",26
"qatar",26
"establish",26
"standard",26
"statist",26
"deleg",26
"involv",26
"necessari",26
"offshor",26
"iraq",26
"sterl",26
"chanc",26
"foster",26
"letter",26
"appear",25
"real",25
"fluctuat",25
"add",25
"peopl",25
"pass",25
"nigeria",25
"resolv",25
"common",25
"clayton",25
"farm",25
"live",25
"uruguay",25
"yield",25
"avail",24
"charg",24
"difficulti",24
"lost",24
"fail",24
"investor",24
"sharpli",24
"power",24
"huge",24
"potenti",24
"implement",24
"risk",24
"basic",24
"differ",24
"businessmen",24
"opportun",24
"iranian",24
"extern",24
"row",24
"longer",24
"matur",24
"least",23
"region",23
"york",23
"cash",23
"deni",23
"sharp",23
"regul",23
"mobil",23
"zone",23
"tighten",23
"difficult",23
"rather",23
"chines",23
"paper",23
"exchequ",23
"slow",23
"job",23
"subsidiari",23
"morn",23
"organ",22
"texaco",22
"facil",22
"resist",22
"asian",22
"devalu",22
"contribut",22
"adopt",22
"bahrain",22
"form",22
"retaliatori",22
"coordin",22
"special",22
"oversea",22
"predict",22
"global",22
"cent",22
"fear",22
"oppos",22
"view",22
"prevent",22
"similar",22
"technolog",22
"correct",22
"came",22
"extend",22
"natur",22
"wide",22
"appropri",22
"mine",22
"releas",22
"tonn",22
"iea",22
"consider",22
"carri",22
"approach",22
"employ",22
"prt",22
"sumita",22
"stoltenberg",22
"buyer",21
"guarante",21
"refer",21
"remark",21
"earn",21
"gcc",21
"speak",21
"lukman",21
"rapid",21
"top",21
"narrow",21
"won",21
"iran",21
"debat",21
"broad",21
"best",21
"don",21
"overal",21
"rig",21
"threaten",21
"repay",21
"object",21
"attack",21
"idea",21
"cover",20
"halt",20
"nine",20
"critic",20
"pump",20
"test",20
"prioriti",20
"hard",20
"instead",20
"turn",20
"whole",20
"leav",20
"abl",20
"small",20
"telecommun",20
"affair",20
"equip",20
"design",20
"serious",20
"solv",20
"rostenkowski",20
"fair",20
"sure",20
"own",20
"promot",20
"india",20
"john",20
"panel",20
"itali",20
"achiev",20
"drain",20
"thursday",20
"mile",20
"hernandez",20
"creat",20
"goal",20
"lawson",20
"intermedi",19
"name",19
"benchmark",19
"construct",19
"outsid",19
"build",19
"expenditur",19
"shortfal",19
"complaint",19
"repli",19
"fee",19
"petro",19
"provis",19
"duti",19
"consist",19
"ensur",19
"execut",19
"person",19
"london",19
"renew",19
"draw",19
"tough",19
"unlik",18
"sweet",18
"emir",18
"local",18
"publish",18
"elect",18
"launch",18
"plant",18
"though",18
"tradit",18
"trend",18
"recoveri",18
"adher",18
"northern",18
"stabl",18
"introduc",18
"newspap",18
"coast",18
"hour",18
"reject",18
"met",18
"stress",18
"gap",18
"port",18
"date",18
"join",18
"normal",18
"play",18
"attend",18
"unless",18
"led",18
"feel",18
"korean",18
"matter",18
"enough",18
"sentiment",18
"stand",18
"america",18
"found",18
"data",18
"colombia",18
"night",18
"ventur",18
"televis",18
"clercq",18
"norway",18
"republican",18
"index",17
"seem",17
"excess",17
"paul",17
"net",17
"exceed",17
"request",17
"restor",17
"transport",17
"float",17
"uae",17
"draft",17
"especi",17
"threat",17
"island",17
"strateg",17
"particip",17
"speech",17
"other",17
"gasolin",17
"minimum",17
"lawmak",17
"shut",17
"shift",17
"send",17
"vote",17
"pdvsa",17
"anger",17
"abroad",16
"movement",16
"sour",16
"trust",16
"almost",16
"appar",16
